Year,DonorCode,DonorName,AgencyName,CrsID,RecipientName,RegionName,FlowName,USD_Commitment,CurrencyCode,ShortDescription,ProjectTitle,BroadSector,Province,Latitude,Longitude,PurposeCode,PurposeName,SectorCode,SectorName,ExpectedStartDate,CompletionDate,LongDescription,Name_of_Donor,ProjectTitle_len,PurposeName_len,ShortDescription_len,LongDescription_len
2013,801,Australia,Australian Government,2008001605,Iraq,Middle East,ODA Grants,3.996852,801,IRAQ PARTNERSHIP FACILITY,Iraq Partnership Facility,Public Administration,Baghdad,33.32237,44.36556,15110,Public sector policy and administrative management,151,I.5.a. Government & Civil Society-general,2008-09-30 00:00:00,2013-06-30 00:00:00,"This initiative provides funding for the Iraq Partnership Facility (IPF). The IPF is aligned with AusAID's Iraq Assistance Framework and focuses on building Iraq's capacity in key sectors such as economic management, good governance and public sector reform and improving basic services, particularly in health and agriculture. The total value of this initiative is $38.2 million over 5 years, starting 2008-09.","Australia, Australian Government",25,50,25,411
2020,5,Germany,Federal Ministry for Economic Cooperation and Development,2020005679,Iraq,Middle East,ODA Grants,3.988604,302,"IMPROVING THE AVAILABILITY OF GENDER-SENSITIVE PRIMARY HEALTH CARE SERVICES FOR THE POPULATION BY STRENGTHENING HEALTH STRUCTURES IN SALAHADDINE, IRAQ","Improving the availability of gender-sensitive primary health care services for the population by strengthening health structures in Salahaddine, Iraq",Health,Salahaldin,34.60846,43.67916,12230,Basic health infrastructure,122,I.2.b. Basic Health,2020-10-01 00:00:00,2024-12-31 00:00:00,"The project contributes to the promotion of gender equality in sexual and reproductive health by strengthening public health structures and improving access to needs-based, gender-sensitive health care in the province of Salah ad-Din","Germany, Federal Ministry for Economic Cooperation and Development",150,27,150,233
2014,5,Germany,Federal Foreign Office,2014008804,Iraq,Middle East,ODA Grants,3.980531,302,HUMANITARIAN ASSISTANCE WINTERIZING,Humanitarian Assistance Winterizing,Public Administration,Duhok,36.86757,43.00247,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-10-01 00:00:00,2015-02-13 00:00:00,"In 2014, Germany provided critical humanitarian assistance to internally displaced persons (IDPs) in Iraq, focusing on winterization efforts to alleviate the hardships faced during the cold season. This support included the distribution of non-food items such as blankets, mattresses, hygiene kits, and fuel vouchers to ensure that displaced families had access to essential supplies and warmth. The assistance was particularly vital in regions like Dohuk, where IDPs were residing in camps and informal settlements. By addressing immediate needs, Germany's aid contributed to improving the living conditions of vulnerable populations affected by the ongoing conflict.","Germany, Federal Foreign Office",35,39,35,107
2019,701,Japan,Ministry of Foreign Affairs,2019050068,Iraq,Middle East,ODA Grants,3.928571,701,RESTORING ACCESS TO CRITICAL URBAN SERVICES IN LIBERATED AREAS,Restoring Access to Critical Urban Services in Liberated Areas,Other,Anbar,33.42727,43.31371,43040,Rural development,430,IV.2. Other Multisector,2019-03-18 00:00:00,2020-03-31 00:00:00,To improve the living conditions of the returnees intargeted liberated areas in Anbar governorate by restoring access to critical urban services.,"Japan, Ministry of Foreign Affairs",62,17,62,145
2016,302,United States,Agency for International Development,20169015972,Iraq,Middle East,ODA Grants,3.919896,302,"CASH PROGRAMMING FOR NFI SUPPORT, CHILD PROTECTION, AND SUPPORT FOR SURVIVORS OF GBV. - ASSISTANCE AND RECOVERY","Cash programming for NFI support, Child Protection, and Support for Survivors of GBV. - Assistance and Recovery",Public Administration,Duhok,36.80813,42.94464,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-01-01 00:00:00,2016-12-31 00:00:00,"The 2016 humanitarian initiative in Iraq implemented cash-based programming to support vulnerable populations affected by conflict and displacement. This multifaceted approach provided assistance for non-food items (NFIs), child protection, and support for survivors of gender-based violence (GBV). The cash assistance aimed to meet immediate needs, reduce protection risks, and enhance the resilience of affected individuals and communities. By integrating cash transfers into protection services, the program sought to empower beneficiaries, allowing them to prioritize their needs and access essential services, while also facilitating case management and referrals to specialized support.","United States, Agency for International Development",111,39,111,85
2016,5,Germany,Federal Foreign Office,2016007630,Iraq,Middle East,ODA Grants,3.910976,302,HUMANITARIAN ASSISTANCE - INFRASTRUCTURE IN CAMPS FOR REFUGEES,Humanitarian Assistance - infrastructure in camps for refugees,Public Administration,Nineveh,36.33688,43.1194,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-01-01 00:00:00,2016-12-31 00:00:00,"In 2016, Germany provided humanitarian assistance to improve infrastructure in camps for refugees and internally displaced persons (IDPs) in Iraq. This support focused on enhancing the living conditions of displaced populations by rehabilitating and upgrading camp facilities, including water and sanitation systems, shelters, and communal spaces. The German government collaborated with various international and local partners to implement these projects, aiming to alleviate the hardships faced by displaced communities and contribute to their dignity and well-being.","Germany, Federal Foreign Office",62,39,62,159
2014,302,United States,State Department,2014022378,Iraq,Middle East,ODA Grants,3.9,302,CONTRIBUTION FOR RRP6 - IRAQ,Contribution for Rrp6 - Iraq,Public Administration,Erbil,36.5468,44.00911,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2013-12-31 00:00:00,"The 2013 contribution to the Regional Response Plan 6 (RRP6) in Iraq, funded by the U.S. Department of State's Population, Refugees, and Migration Bureau and implemented by the International Organization for Migration (IOM), aimed to support Syrian refugees and host communities affected by the Syrian conflict. The program focused on providing shelter, non-food items, and protection services to vulnerable populations. IOM's efforts included the construction and rehabilitation of shelters, distribution of essential relief items, and the provision of psychosocial support. These activities were coordinated in collaboration with other humanitarian partners to ensure a comprehensive response to the needs of displaced individuals.","United States, State Department",28,39,28,207
2015,918,EU Institutions,European Commission,2015000177,Iraq,Middle East,ODA Grants,3.860233,918,"STRENGHTENING COUNTER TERRORISM CAPACITIES IN THE MIDDLE EAST, NORTH AFRICA AND IN IRAQ","Strenghtening counter terrorism capacities in the Middle East, North Africa and in Iraq",IT,Baghdad,33.31636,44.38933,15210,Security system management and reform,152,"I.5.b. Conflict, Peace & Security",2014-01-01 00:00:00,2018-12-31 00:00:00,"The conflicts in Syria and Iraq are having important destabilising effects not only inside Syria and Iraq but also on neighbouring countries and the wider Middle East and North Africa (MENA) region. In line with the   EU regional strategy for Syria and Iraq as well as the ISIL/Da esh threat   of 16 March 2015 and the   Syria and Iraq: Counter Terrorism (CT)/Foreign Fighters Strategy   of 20 October 2014, this measure aims to address the terrorist threat in the region by strengthening the capacit","EU Institutions, European Commission",87,37,87,500
2017,301,Canada,Global Affairs Canada,2017201596,Iraq,Middle East,ODA Grants,3.851783,301,IRAQ CRISIS - EMERGENCY MULTI-PURPOSE CASH ASSISTANCE - CASH CONSORTIUM FOR IRAQ 2017/CRISE EN IRAK - AIDE FINANCI횊RE D'URGENCE MULTI-USAGE - CASH CON,Iraq Crisis - Emergency Multi-Purpose Cash Assistance - Cash Consortium for Iraq 2017,Public Administration,Nineveh,36.37256,43.15804,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2017-08-31 00:00:00,2018-03-31 00:00:00,"July 2017 Ongoing military efforts to retake territory from Daesh, and Mosul in particular, continue to drive the humanitarian crisis in Iraq. More than 3.3 million people are displaced in camps and host communities and an additional 1.9 previously displaced people have returned to their communities often finding their homes destroyed. The UN estimates that over 10 million Iraqis affected by the crisis are in need of assistance. Despite the ongoing conflict, markets in most of Iraq have continued to function normally. Humanitarian organizations have increasingly been relying on cash-assistance as an appropriate and dignified way for families in need to meet their basic needs. Cash-assistance also contributes to restarting local economies and the livelihoods households need to reduce their reliance on emergency humanitarian assistance.With GAC's support (via Mercy Corps), the Cash Consortium for Iraq is providing emergency cash assistance to some 2,300 of the most vulnerable conflict-affected households in Iraq. This emergency assistance will help families meet critical basic needs and reduce the use of negative coping strategies, while providing dignified choices and supporting local markets. The consortium model allows organizations to respond across all conflict-affected areas of Iraq and allocate resources to meet the most urgent needs.","Canada, Global Affairs Canada",171,39,150,3000
2020,5,Germany,Federal Ministry for Economic Cooperation and Development,2020005688,Iraq,Middle East,ODA Grants,3.817664,302,"IMPROVED LIVELIHOODS AND INCREASED RESILIENCE FOR CONFLICT-AFFECTED RESIDENTS AND RETURNEES IN ANBAR PROVINCE, IRAQ","Improved livelihoods and increased resilience for conflict-affected residents and returnees in Anbar Province, Iraq",Industry,Anbar,34.1314,42.38042,31110,Agricultural policy and administrative management,311,III.1.a. Agriculture,2020-10-01 00:00:00,2024-12-31 00:00:00,"The project aims to support socially disadvantaged rural and farming families, including returnees and particularly vulnerable groups such as women and people with disabilities in rural and underserved areas of the Anbar province, poverty and hunger through more efficient use of resources and opportunities overcoming income generation and strengthening their resilience.","Germany, Federal Ministry for Economic Cooperation and Development",115,49,115,372
2020,302,United States,Agency for International Development,2020020113,Iraq,Middle East,ODA Grants,3.807572,302,SAFE RETURN TO NINEWA PLAINS,Safe Return to Ninewa Plains,IT,Nineveh,36.27206,43.37837,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2018-08-01 00:00:00,2022-09-30 00:00:00,"The ""Safe Return to Ninewa Plains"" project, initiated in 2018, focused on facilitating the reintegration of internally displaced persons (IDPs) into their communities within the Ninewa Plains region of Iraq. The program provided comprehensive support, including mental health and psychosocial services, livelihood assistance, and legal aid, to address the multifaceted needs of returnees. By collaborating with local organizations and stakeholders, the initiative aimed to rebuild trust, restore essential services, and promote social cohesion among diverse ethnic and religious groups affected by conflict. The project's holistic approach contributed to creating a conducive environment for sustainable returns and long-term community resilience.","United States, Agency for International Development",28,59,28,150
2019,5,Germany,Federal Foreign Office,2019010986,Iraq,Middle East,ODA Grants,3.806112,302,"IMPROVEMENT OF WATER SUPPLY, CASH ASSISTANCE AND PROTECTION MEASURES FOR INTERNALLY DISPLACED PERSONS, RETURNEES AND HOST COMMUNITIES IN NINEVA","Improvement of water supply, cash assistance and protection measures for internally displaced persons, returnees and host communities in Nineva",Public Administration,Nineveh,36.46112,43.15789,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2019-01-01 00:00:00,2020-12-31 00:00:00,"The ""Improvement of Water Supply, Cash Assistance, and Protection Measures for Internally Displaced Persons, Returnees, and Host Communities in Ninewa"" project, implemented in 2019 with German funding, aimed to enhance the living conditions of vulnerable populations in the Ninewa Governorate. This initiative focused on rehabilitating water supply systems, providing cash assistance to meet immediate needs, and implementing protection measures to safeguard individuals from various risks. The project targeted areas such as Telkaif and other towns in Ninewa, addressing the essential needs of displaced persons and host communities affected by the ongoing conflict. Through these interventions, the project sought to improve access to clean water, alleviate economic hardships, and ensure the protection of vulnerable groups, thereby contributing to the overall stability and resilience of the region.","Germany, Federal Foreign Office",143,39,143,143
2016,302,United States,Agency for International Development,20169017588,Iraq,Middle East,ODA Grants,3.78,302,USAID/OFDA GRANT FOR COMPLEX EMERGENCY - ASSISTANCE AND RECOVERY,USAID/OFDA Grant for Complex Emergency - Assistance and Recovery,Public Administration,Nineveh,36.51636,43.12549,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-01-01 00:00:00,2016-12-31 00:00:00,"The 2016 USAID/Office of U.S. Foreign Disaster Assistance (OFDA) grant for Iraq's complex emergency provided substantial humanitarian support to populations affected by conflict and displacement. This funding facilitated the procurement and distribution of emergency relief supplies, health and protection services, water, sanitation, and hygiene (WASH) interventions, and shelter support. Additionally, it supported humanitarian coordination and information management efforts for displaced and conflict-affected populations within Iraq. The assistance aimed to address immediate needs and improve living conditions for internally displaced persons (IDPs) and other vulnerable groups across the country.","United States, Agency for International Development",64,39,64,38
2019,301,Canada,Global Affairs Canada,2019201146,Iraq,Middle East,ODA Grants,3.767898,301,IRAQ CRISIS - EMERGENCY MULTI-PURPOSE CASH ASSISTANCE - CASH CONSORTIUM FOR IRAQ 2019/CRISE EN IRAK - AIDE FINANCI횊RE D'URGENCE MULTI-USAGE - CASH CON,Iraq Crisis - Emergency Multi-Purpose Cash Assistance - Cash Consortium for Iraq 2019,Public Administration,Nineveh,36.37256,43.15804,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2019-08-12 00:00:00,2020-12-31 00:00:00,"July 2019 In 2019, there are an estimated 6.7 million people in need of humanitarian assistance in Iraq, 18 % of the total population. More than 1.6 million persons remain internally displaced, despite the expulsion of Daesh from Iraqi territory in December 2017. Displaced people both in-camp and out-of-camp settings continue to depend on the provision of humanitarian assistance to meet their basic needs.With GAC's support, the Cash Consortium for Iraq (CCI) is providing emergency cash assistance to up to 2,000 of the most vulnerable conflict-affected households in Iraq. This emergency assistance helps families meet critical basic needs and reduce the use of negative coping strategies, while providing dignified choices and supporting local markets. Project activities include: (1) providing multi-purpose cash assistance (MPCA) transfers to vulnerable households, (2) providing legal support to approximately 270 individuals, to facilitate access to crucial civil documentation and promote linkages with government services, (3) developing and delivering financial literacy training for vulnerable women-headed households, and (4) establishing a mentorship programme to build capacity of two local organizations seeking to use, or already using, MPCA as an emergency response modality. ","Canada, Global Affairs Canada",171,39,150,2754
2023,302,United States,State Department,2023011277,Iraq,Middle East,ODA Grants,3.75,302,CONFRONTING CLIMATE CHANGE THROUGH AWARENESS,Confronting Climate Change Through Awareness,Education,Baghdad,33.26807,44.37808,11420,Higher education,114,I.1.d. Post-Secondary Education,2023-09-21 00:00:00,2023-09-21 00:00:00,"The ""Confronting Climate Change Through Awareness, Research, and Engineering at AUIB"" project, initiated in 2023, is a U.S. Department of State-funded initiative aimed at enhancing climate literacy and environmental resilience in Iraq. Led by the American University of Iraq – Baghdad (AUIB), the program integrates academic research, public engagement, and policy dialogue to address the country's pressing climate challenges. Key components include the establishment of the Center for Climate Change, Water Security, and Environmental Sustainability, which focuses on interdisciplinary research and education, and the organization of forums such as the Carbon Literacy Forum to foster societal partnerships for environmental sustainability.","United States, State Department",44,16,44,112
2023,302,United States,State Department,2023011672,Iraq,Middle East,ODA Grants,3.75,302,SUPPORTING AMERICAN STYLE HIGHER EDUCATION,Supporting American Style Higher Education,Education,Baghdad,33.27919,44.2713,11420,Higher education,114,I.1.d. Post-Secondary Education,2023-09-22 00:00:00,2023-09-22 00:00:00,"The ""Supporting American-Style Higher Education in Iraq 2023"" initiative, funded by the U.S. Department of State’s Bureau of Near Eastern Affairs, aims to enhance the capacity of American-style institutions of higher education (IHEs) in Iraq. This program focuses on fostering partnerships between Iraqi and U.S. universities, promoting U.S. accreditation, and supporting student diversity and retention. Key objectives include developing academic programs aligned with American higher education standards, facilitating faculty and student exchanges, and strengthening institutional governance. The initiative also emphasizes the inclusion of underrepresented groups and the promotion of critical thinking and tolerance to foster community cohesion and engagement","United States, State Department",42,16,42,55
2021,302,United States,State Department,2021009538,Iraq,Middle East,ODA Grants,3.74898,302,2020 AVSI IRAQ Y2 OF 2 AWARD[AWARDS-  COOPERATIVE AGREEMENTS],2020 AVSI Iraq Y2 of 2 Award[Awards-  Cooperative Agreements],Public Administration,Nineveh,36.27203,43.37858,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2021-08-27 00:00:00,2021-08-27 00:00:00,"To enhance the socio-economic resilience of vulnerable returnees, Internally Displaced Persons and the host community in Nineveh and Duhok governorates.","United States, State Department",61,39,61,152
2018,302,United States,Agency for International Development,2018013344,Iraq,Middle East,ODA Grants,3.7,302,ADVANCING PARTNERS AND COMMUNITY-BASED FAMILY PLANNING,Advancing Partners and Community-based Family Planning,Public Administration,Nineveh,36.27013,43.37352,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2012-10-01 00:00:00,2019-09-30 00:00:00,"Advancing Partners & Communities advances and supports community programs that seek to improve the overall health of communities and achieve other health-related impacts, especially in relationship to family planning.","United States, Agency for International Development",54,41,54,217
2021,10,Sweden,Swedish International Development Authority,2021060298N,Iraq,Middle East,ODA Grants,3.676494,10,ACTION AGAINST HUNGER: HUM 2021-2025,Action Against Hunger: HUM 2021-2025,Public Administration,Baghdad,33.31824,44.40605,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2021-01-01 00:00:00,2026-12-31 00:00:00,"The initial funding to Action Against Hunger (AAH) in 2021, which is being encompassed in this decision, is based on the Sida humanitarian allocation process that took place in late 2020.This is an appraisal and subsequent decision of a new contribution (Decision on Contribution, Rule for Managing Contributions 2.9짠) between Sida and AAH, to allow for humanitarian response in 22 crises for 2021.This Decision concerns a financial contribution to AAH amounting to 282.7 MSEK.The mission of AAH is to save lives through prevention, detection and treatment of malnutrition, in particular during, and following, disasters and conflicts, and to address the underlying causes of hunger.AAH is particularly strong in terms of its core mandate to fight hunger and undernutrition. For 2021, the following modality of support is proposed for AAH:1. Annual Projects/Programmes, (usually 12 months) ??237.8 MSEK2. Rapid Response Mechanism - 40 MSEK3. Capacity Building Support ??4 MSEK4. Programme Support Management ??0.9 MSEKDuring 2021, the initial programme and project support covers the following 22 countries/crises: Burkina Faso, Central African Republic, Chad, Colombia, Democratic Republic of Congo, Ethiopia, Haiti, Iraq, Lebanon, Mali, Madagascar, Niger, Nigeria, Pakistan, Philippines, Somalia, Sudan, South Sudan, Syria, Uganda, Venezuela och Zimbabwe.The annual project and country programmes includes support to the sectors of nutrition, protection, food security, health, livelihood, shelter, GBV, WASH, and multipurpose cash.Background:AAH is a non-profit organisation, previously known as Action Contre La Faim (ACF), which is governed by the French Association Law of July 1, 1901. AAH was established in 1979 specifically to respond to humanitarian emergencies, focusing on issues of malnutrition.AAH international network (AAH-IN) is composed of AAH entities from France, (Sida agreement partner), AAH India, AAH United Kingdom, AAH Spain, AAH USA and AAH Canada. Each of these members are separate legal entities, but share a common charter of principles, strategy and areas of intervention. All members of the network are committed to bringing coherence and enhancing efficiency to better serve those in need of nourishment , and to adhere to the AAH principles for which it stands. These principles are: moral and financial independence, strict political and religious neutrality, non-discrimination, free and direct access to victims, professionalism and transparency. The principles are outlined in an agreement (the International Global Protocols), which is signed by all AAH members.","Sweden, Swedish International Development Authority",36,39,36,2603
2020,701,Japan,Ministry of Foreign Affairs,2020050432,Iraq,Middle East,ODA Grants,3.674509,701,LEVERAGING THE SECURITY DEVELOPMENT NEXUS IN IRAQ: SUPPORT FOR COMMUNITY STABILIZATION IN CONFLIC AFFECTED COMMUNITIES,Leveraging the Security Development Nexus in Iraq: Support for Community Stabilization in Conflic Affected Communities,Public Administration,Nineveh,36.33518,43.11895,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2020-03-19 00:00:00,2021-03-31 00:00:00,Leveraging the Security Development Nexus in Iraq: Support for Community Stabilization in Conflic Affected Communities,"Japan, Ministry of Foreign Affairs",118,39,118,118
2015,12,United Kingdom,Department for International Development,2015001058,Iraq,Middle East,ODA Grants,3.666921,12,IRAQ HUMANITARIAN AND STABILISATION SUPPORT,Iraq humanitarian and stabilisation support,Public Administration,Salahaldin,34.60311,43.67359,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2015-04-01 00:00:00,2016-08-31 00:00:00,"To respond to urgent humanitarian needs in Iraq and build the capacity of the Iraqi and international system to respond to the humanitarian crisis, and support the development of recovery and stabilisation activities","United Kingdom, Department for International Development",43,39,43,216
2014,701,Japan,Ministry of Foreign Affairs,2014002234,Iraq,Middle East,ODA Grants,3.665651,701,EMERGENCY GRANT AID IN RESPONSE TO IDPS IN IRAQ AND SYRIAN REFUGEES IN LEBANON AFFECTED BY ISIL<THROUGH UNICEF(IRAQ)>,Emergency Grant Aid in response to IDPs in Iraq and Syrian Refugees in Lebanon affected by ISIL<through UNICEF(Iraq)>,Public Administration,Baghdad,33.31805,44.40631,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-10-01 00:00:00,2015-04-01 00:00:00,"Japan's Emergency Grant Aid in 2014 provided $22.7 million to support internally displaced persons (IDPs) in Iraq and Syrian refugees in Lebanon, addressing critical needs in water, sanitation, and education. Implemented through UNICEF, this aid aimed to alleviate the humanitarian crisis caused by the ISIL offensive, which displaced approximately 1.8 million people in Iraq and over 1.1 million in Lebanon. The assistance focused on enhancing access to safe drinking water, improving sanitation facilities, and ensuring continued education for children affected by the conflict.","Japan, Ministry of Foreign Affairs",117,39,117,52
2014,302,United States,Agency for International Development,2014006549,Iraq,Middle East,ODA Grants,3.65429,302,CRISIS ASSISTANCE AND RECOVERY,Crisis Assistance and Recovery,Public Administration,Duhok,36.83871,42.89785,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2013-12-31 00:00:00,"Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integrated, coordinated and/or multi-sectoral approach.","United States, Agency for International Development",30,39,30,304
2020,5,Germany,Federal Foreign Office,2020008809,Iraq,Middle East,ODA Grants,3.651282,302,MINE ACTION IN IRAQ,Mine Action in Iraq,IT,Anbar,34.25244,42.75022,15250,Removal of land mines and explosive remnants of war,152,"I.5.b. Conflict, Peace & Security",2020-08-01 00:00:00,2022-07-31 00:00:00,"The ""Mine Action Intervention in Areas Contaminated by Improvised Landmines and Explosive Devices in Anbar, Iraq"" project, supported by Germany in 2020, aimed to address the severe contamination of Anbar Province by improvised explosive devices (IEDs) and other explosive remnants of war (ERW). These hazards, left by ISIS during their occupation, posed significant risks to civilians and hindered the return of displaced populations. The initiative focused on clearing contaminated areas, providing mine risk education, and facilitating safe access to land for agricultural and resettlement purposes. Through collaboration with local and international partners, the project contributed to reducing civilian casualties and supporting the rehabilitation of affected communities","Germany, Federal Foreign Office",19,51,19,107
2018,701,Japan,Ministry of Foreign Affairs,2018050236,Iraq,Middle East,ODA Grants,3.636,701,INTEGRATED HUMANITARIAN AND COMMUNITY STABILIZAION ASSISTANCE IN CONFLICTED AFFECTED AREAS OF IRAQ,Integrated Humanitarian and Community Stabilizaion Assistance in Conflicted Affected Areas of Iraq,Public Administration,Nineveh,36.37676,42.45187,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2018-03-19 00:00:00,2019-03-31 00:00:00,"Japan's 2018 humanitarian initiative in Iraq, titled ""Integrated Humanitarian and Community Stabilization Assistance in Conflict-Affected Areas,"" allocated $3.64 million to support the International Organization for Migration (IOM) in stabilizing communities impacted by ISIL. The project aimed to assist over 160,000 individuals through shelter rehabilitation, healthcare facility upgrades, and social cohesion programs in return areas such as Telafar, approximately 50 km west of Mosul in Ninewa Governorate. Additionally, it focused on establishing community centers to promote conflict resolution, women's leadership, and youth empowerment, while also enhancing medical services, including vision screenings and the provision of prescription glasses in partnership with Fuji Megane","Japan, Ministry of Foreign Affairs",98,41,98,98
2020,302,United States,State Department,2020005183,Iraq,Middle East,ODA Grants,3.603567,302,"ACHIEVING SOCIO-ECONOMIC STABILITY OF RETURNEES, HOST COMMUNITY AND INTERNALLY DISPLACED PERSONS IN IRAQ","Achieving Socio-Economic Stability of Returnees, Host Community and Internally Displaced Persons in Iraq",Public Administration,Nineveh,36.26795,43.37407,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2020-01-01 00:00:00,2020-12-31 00:00:00,"The ""Achieving Socio-Economic Stability of Returnees, Host Community and Internally Displaced Persons in Iraq"" (ASET) project, launched in 2020 by AVSI Foundation with funding from the U.S. Department of State’s Bureau of Population, Refugees, and Migration (PRM), aimed to bolster the resilience of conflict-affected populations in Nineveh and Duhok governorates. The initiative provided vocational training, agricultural support, and small business development to enhance livelihoods. By fostering economic opportunities and promoting social cohesion, ASET contributed to the stabilization and recovery of communities impacted by conflict and displacement.","United States, State Department",104,39,104,183
2013,302,United States,State Department,2013023938,Iraq,Middle East,ODA Grants,3.6,302,CONTRIBUTION TO INTERNATIONAL COMMITTEE OF THE RED CROSS (ICRC) S IRAQ EMERGENCY APPEAL,Contribution To International Committee of the Red Cross (ICRC) s Iraq Emergency Appeal,Public Administration,Duhok,36.83875,42.89742,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2013-12-31 00:00:00,"The 2013 contribution to the International Committee of the Red Cross (ICRC)'s Iraq Emergency Appeal, funded by the U.S. Department of State's Bureau of Population, Refugees, and Migration, aimed to address the urgent humanitarian needs arising from conflict and violence in Iraq. The ICRC focused on providing essential assistance, including food, water, sanitation, and basic medical care, to civilians affected by armed conflict. The organization also worked to promote the protection of detainees, support the clarification of the fate of missing persons, and enhance the resilience of vulnerable communities through livelihood support and infrastructure rehabilitation. These efforts were coordinated in collaboration with the Iraqi Red Crescent Society and relevant authorities to ensure a comprehensive and effective response to the humanitarian crisis","United States, State Department",87,39,87,207
2014,10,Sweden,Swedish International Development Authority,2014067091,Iraq,Middle East,ODA Grants,3.582778,10,UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS   2014-2016 - UNICEF HUMANITARIAN SUPPORT TO COUNTRY PROGRAMS,UNICEF Humanitarian support to country programs   2014-2016 - UNICEF Humanitarian support to country programs,Public Administration,Anbar,33.43392,43.27674,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2014-01-01 00:00:00,2018-06-28 00:00:00,"Humanitarian support to UNICEFs country programs during 2014-2015 in  nutrition, health, child protection, WASH and emergency education.","Sweden, Swedish International Development Authority",109,39,109,136
2021,5,Germany,Federal Foreign Office,2021008641,Iraq,Middle East,ODA Grants,3.547777,302,HUMANITARIAN MINE ACTION IN IRAQ,Humanitarian mine action in Iraq,IT,Sulaymaniyah,35.55852,45.42506,15250,Removal of land mines and explosive remnants of war,152,"I.5.b. Conflict, Peace & Security",2021-04-01 00:00:00,2023-03-31 00:00:00,"In 2021, Germany contributed €1.37 million to humanitarian mine action efforts in Iraq, focusing on the Ninewa and Sulaymaniyah governorates. This funding supported the Mines Advisory Group (MAG) in conducting survey and clearance operations to remove improvised explosive devices (IEDs) and other explosive remnants of war (ERW) from areas previously affected by conflict. The initiative aimed to enhance safety, facilitate the return of displaced populations, and promote socio-economic recovery in these regions.","Germany, Federal Foreign Office",32,51,32,74
2018,5,Germany,Federal Ministry for Economic Cooperation and Development,2018005434,Iraq,Middle East,ODA Grants,3.540659,302,"COMMUNITY-BASED CHILD PROTECTION MECHANISM AND EDUCATION SERVICES FOR CONFLICT-AFFECTED CHILDREN AND THEIR FAMILIES IN NINEWA AND SALAH AL DIN, IRAQ","Community-based child protection mechanism and education services for conflict-affected children and their families in Ninewa and Salah al Din, Iraq",IT,Nineveh,36.34147,43.06722,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2018-09-01 00:00:00,2021-01-28 00:00:00,"The ""Community-based Child Protection Mechanism and Education Services for Conflict-Affected Children and Their Families in Ninewa and Salah al-Din, Iraq"" project, implemented in 2018, aimed to strengthen the resilience of children, their families, and communities through integrated education and child protection measures. The initiative focused on enhancing the capacity of local communities to protect children from violence, exploitation, and abuse, while also improving access to quality education in conflict-affected areas. By establishing community-based child protection mechanisms and providing education services, the project sought to create safer environments for children and promote their well-being and development.","Germany, Federal Ministry for Economic Cooperation and Development",148,58,148,150
2018,5,Germany,Federal Foreign Office,2018008608,Iraq,Middle East,ODA Grants,3.540659,302,EXPLOSIVE THREAT MITIGATION - ENABLING RETURNS TO LIBERATED AREAS IN IRAQ,Explosive Threat Mitigation - Enabling Returns to Liberated Areas in Iraq,IT,Nineveh,36.34313,43.12537,15250,Removal of land mines and explosive remnants of war,152,"I.5.b. Conflict, Peace & Security",2018-12-01 00:00:00,2019-12-31 00:00:00,"1) Access to restore essential services is enabled through the conduction of explosive hazard assessments and surveys = UNMAS Iraq will enable and coordinate explosive hazard management operations in priority locations depending on assessments and survey.2) Explosive hazard clearance is conducted by UNMAS. UNMAS will coordinate the deployment of relevant follow-up assets in priority locations depending on initial survey results. Explosive hazards that are safe to move are moved to a designated storage and controlled detonation site, so that the cleared buildings can soon be used by the public again.","Germany, Federal Foreign Office",73,51,73,606
